  2.2746005e-001  7.6628967e-001  1.0866921e+000  1.2551058e+000  1.3792668e+000  1.4709830e+000  1.5467206e+000  1.6210693e+000  1.6748919e+000  1.7465493e+000  1.8041882e+000  1.8558073e+000  1.9108962e+000  1.9520163e+000  1.9979621e+000  2.0450069e+000  2.0820777e+000  2.1306242e+000
  2.3230891e-001  7.7422134e-001  1.0953724e+000  1.2629926e+000  1.3866563e+000  1.4773967e+000  1.5548756e+000  1.6310435e+000  1.6837892e+000  1.7583658e+000  1.8121917e+000  1.8642245e+000  1.9200263e+000  1.9622125e+000  2.0076611e+000  2.0555670e+000  2.0930811e+000  2.1416871e+000
  2.3668125e-001  7.8103709e-001  1.1015473e+000  1.2681226e+000  1.3962631e+000  1.4859181e+000  1.5619433e+000  1.6380270e+000  1.6932916e+000  1.7652795e+000  1.8223571e+000  1.8702556e+000  1.9300606e+000  1.9767839e+000  2.0172028e+000  2.0643027e+000  2.1026979e+000  2.1530132e+000
  2.4296468e-001  7.8749823e-001  1.1085985e+000  1.2742773e+000  1.4039465e+000  1.4910936e+000  1.5706988e+000  1.6449044e+000  1.7005523e+000  1.7721446e+000  1.8285936e+000  1.8812548e+000  1.9377650e+000  1.9853650e+000  2.0254767e+000  2.0717918e+000  2.1102809e+000  2.1630714e+000
  2.4782851e-001  7.9271709e-001  1.1127590e+000  1.2803990e+000  1.4105236e+000  1.4976272e+000  1.5768247e+000  1.6535464e+000  1.7084555e+000  1.7792337e+000  1.8382856e+000  1.8887357e+000  1.9450340e+000  1.9926841e+000  2.0363157e+000  2.0820777e+000  2.1231865e+000  2.1749009e+000
  2.5381596e-001  7.9703696e-001  1.1189939e+000  1.2873467e+000  1.4157725e+000  1.5037533e+000  1.5827213e+000  1.6618332e+000  1.7167350e+000  1.7894232e+000  1.8450403e+000  1.8988518e+000  1.9540428e+000  2.0008846e+000  2.0469841e+000  2.0920484e+000  2.1369381e+000  2.1828575e+000
  2.5778141e-001  8.0262989e-001  1.1239634e+000  1.2945970e+000  1.4215992e+000  1.5095276e+000  1.5883944e+000  1.6694185e+000  1.7250654e+000  1.7963521e+000  1.8517478e+000  1.9091280e+000  1.9639878e+000  2.0091730e+000  2.0554223e+000  2.0993583e+000  2.1455654e+000  2.1956887e+000
  2.6268753e-001  8.0782880e-001  1.1282796e+000  1.3012046e+000  1.4272818e+000  1.5169742e+000  1.5951189e+000  1.6749815e+000  1.7340009e+000  1.8041882e+000  1.8593932e+000  1.9166906e+000  1.9767839e+000  2.0169933e+000  2.0631124e+000  2.1086130e+000  2.1554972e+000  2.2043050e+000
  2.6788659e-001  8.1362879e-001  1.1340256e+000  1.3067103e+000  1.4322972e+000  1.5226795e+000  1.6029984e+000  1.6814338e+000  1.7413476e+000  1.8111330e+000  1.8665880e+000  1.9259008e+000  1.9844657e+000  2.0241911e+000  2.0702899e+000  2.1194007e+000  2.1639467e+000  2.2151543e+000
  2.7213910e-001  8.1917515e-001  1.1377493e+000  1.3119140e+000  1.4379657e+000  1.5286679e+000  1.6099649e+000  1.6871160e+000  1.7488748e+000  1.8203998e+000  1.8730613e+000  1.9324876e+000  1.9907849e+000  2.0350223e+000  2.0777934e+000  2.1289515e+000  2.1741906e+000  2.2226636e+000
  2.7646356e-001  8.2605683e-001  1.1424016e+000  1.3180185e+000  1.4423887e+000  1.5340868e+000  1.6166910e+000  1.6945404e+000  1.7599583e+000  1.8262893e+000  1.8820205e+000  1.9397806e+000  1.9976912e+000  2.0434865e+000  2.0882943e+000  2.1393736e+000  2.1807267e+000  2.2313173e+000
  2.8062380e-001  8.3122461e-001  1.1460001e+000  1.3227162e+000  1.4477604e+000  1.5419617e+000  1.6230419e+000  1.7001740e+000  1.7654602e+000  1.8326322e+000  1.8885684e+000  1.9465148e+000  2.0058320e+000  2.0520591e+000  2.0950610e+000  2.1477713e+000  2.1907936e+000  2.2434660e+000
  2.8400964e-001  8.3544453e-001  1.1503315e+000  1.3288496e+000  1.4522547e+000  1.5473472e+000  1.6279862e+000  1.7051344e+000  1.7713861e+000  1.8387763e+000  1.8961459e+000  1.9552171e+000  2.0127253e+000  2.0582367e+000  2.1022698e+000  2.1559197e+000  2.1997790e+000  2.2539906e+000
